Year,estimates start after,country,subject descriptor,units,Value,scale,country/series-specific notes
2015,2022,Cambodia,Volume of Imports of goods,Percent change,21.98,Units,"Source: National Statistics Office Latest actual data: 2023 Base year: 2010 Methodology used to derive volumes: Deflation by unit value indexes (from customs data) Formula used to derive volumes: Other Chain-weighted: No Trade System: General trade Excluded items in trade: Does not include cross border trade Oil coverage: Secondary or refined products; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Cambodian riel Data last updated: 09/2024"
2015,2022,Cambodia,Volume of exports of goods and services,Percent change,14.97,Units,"Source: National Statistics Office Latest actual data: 2023 Base year: 2010 Methodology used to derive volumes: Deflation by unit value indexes (from customs data) Formula used to derive volumes: Other Chain-weighted: No Trade System: General trade Excluded items in trade: Does not include cross border trade Oil coverage: Secondary or refined products; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Cambodian riel Data last updated: 09/2024"
2015,2022,Cambodia,Volume of exports of goods,Percent change,18.44,Units,"Source: National Statistics Office Latest actual data: 2023 Base year: 2010 Methodology used to derive volumes: Deflation by unit value indexes (from customs data) Formula used to derive volumes: Other Chain-weighted: No Trade System: General trade Excluded items in trade: Does not include cross border trade Oil coverage: Secondary or refined products; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Cambodian riel Data last updated: 09/2024"
2015,2022,Cambodia,Population,Persons,15.07,Millions,Source: National Statistics Office Latest actual data: 2022 Primary domestic currency: Cambodian riel Data last updated: 09/2024
2015,2022,Cambodia,General government revenue,National currency,13589.23,Billions,Source: Ministry of Finance or Treasury Latest actual data: 2023 Fiscal assumptions: Historical fiscal and monetary data are from the Cambodia authorities. Projections are based on staff's assumptions given discussions with the authorities. Reporting in calendar year: Yes Start/end months of reporting year: January/December GFS Manual used: Government Finance Statistics Manual (GFSM) 2001 Basis of recording: Cash General government includes: Central Government; Local Government; Valuation of public debt: Face value Instruments included in gross and net debt: Loans Primary domestic currency: Cambodian riel Data last updated: 09/2024
2015,2022,Cambodia,General government revenue,Percent of GDP,13.82,Units,See notes for:  General government revenue (National currency).
2015,2022,Cambodia,General government total expenditure,National currency,14225.7,Billions,Source: Ministry of Finance or Treasury Latest actual data: 2023 Fiscal assumptions: Historical fiscal and monetary data are from the Cambodia authorities. Projections are based on staff's assumptions given discussions with the authorities. Reporting in calendar year: Yes Start/end months of reporting year: January/December GFS Manual used: Government Finance Statistics Manual (GFSM) 2001 Basis of recording: Cash General government includes: Central Government; Local Government; Valuation of public debt: Face value Instruments included in gross and net debt: Loans Primary domestic currency: Cambodian riel Data last updated: 09/2024
2015,2022,Cambodia,General government total expenditure,Percent of GDP,14.47,Units,See notes for:  General government total expenditure (National currency).
2015,2022,Cambodia,General government net lending/borrowing,National currency,-636.47,Billions,Source: Ministry of Finance or Treasury Latest actual data: 2023 Fiscal assumptions: Historical fiscal and monetary data are from the Cambodia authorities. Projections are based on staff's assumptions given discussions with the authorities. Reporting in calendar year: Yes Start/end months of reporting year: January/December GFS Manual used: Government Finance Statistics Manual (GFSM) 2001 Basis of recording: Cash General government includes: Central Government; Local Government; Valuation of public debt: Face value Instruments included in gross and net debt: Loans Primary domestic currency: Cambodian riel Data last updated: 09/2024
2015,2022,Cambodia,General government net lending/borrowing,Percent of GDP,-0.65,Units,See notes for:  General government net lending/borrowing (National currency).
2015,2022,Cambodia,General government primary net lending/borrowing,National currency,-413.63,Billions,Source: Ministry of Finance or Treasury Latest actual data: 2023 Fiscal assumptions: Historical fiscal and monetary data are from the Cambodia authorities. Projections are based on staff's assumptions given discussions with the authorities. Reporting in calendar year: Yes Start/end months of reporting year: January/December GFS Manual used: Government Finance Statistics Manual (GFSM) 2001 Basis of recording: Cash General government includes: Central Government; Local Government; Valuation of public debt: Face value Instruments included in gross and net debt: Loans Primary domestic currency: Cambodian riel Data last updated: 09/2024
2015,2022,Cambodia,General government primary net lending/borrowing,Percent of GDP,-0.42,Units,See notes for:  General government primary net lending/borrowing (National currency).
2015,2022,Cambodia,General government gross debt,National currency,22876.08,Billions,Source: Ministry of Finance or Treasury Latest actual data: 2023 Fiscal assumptions: Historical fiscal and monetary data are from the Cambodia authorities. Projections are based on staff's assumptions given discussions with the authorities. Reporting in calendar year: Yes Start/end months of reporting year: January/December GFS Manual used: Government Finance Statistics Manual (GFSM) 2001 Basis of recording: Cash General government includes: Central Government; Local Government; Valuation of public debt: Face value Instruments included in gross and net debt: Loans Primary domestic currency: Cambodian riel Data last updated: 09/2024
2015,2022,Cambodia,General government gross debt,Percent of GDP,23.26,Units,See notes for:  General government gross debt (National currency).
2015,2022,Cambodia,"Gross domestic product corresponding to fiscal year, current prices",National currency,98334.48,Billions,Source: Ministry of Finance or Treasury Latest actual data: 2023 Fiscal assumptions: Historical fiscal and monetary data are from the Cambodia authorities. Projections are based on staff's assumptions given discussions with the authorities. Reporting in calendar year: Yes Start/end months of reporting year: January/December GFS Manual used: Government Finance Statistics Manual (GFSM) 2001 Basis of recording: Cash General government includes: Central Government; Local Government; Valuation of public debt: Face value Instruments included in gross and net debt: Loans Primary domestic currency: Cambodian riel Data last updated: 09/2024
2015,2022,Cambodia,Current account balance,U.S. dollars,-1.58,Billions,"Source: Central Bank Latest actual data: 2023 BOP Manual used: Balance of Payments and International Investment Position Manual, sixth edition (BPM6) Primary domestic currency: Cambodian riel Data last updated: 09/2024"
2015,2022,Cambodia,Current account balance,Percent of GDP,-6.53,Units,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars)."
2016,2022,Cambodia,"Gross domestic product, constant prices",National currency,102948.46,Billions,Source: National Statistics Office Latest actual data: 2022 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2014. Data prior to 2000 are based on a different base year (2000 prices) and estimated by IMF staff using splicing methods to avoid breaks in the data. These estimates continue to serve as proxies for historical series when complete information is unavailable. Chain-weighted: No Primary domestic currency: Cambodian riel Data last updated: 09/2024
2016,2022,Cambodia,"Gross domestic product, constant prices",Percent change,7.91,Units,"See notes for:  Gross domestic product, constant prices (National currency)."
2016,2022,Cambodia,"Gross domestic product, current prices",National currency,107784.91,Billions,Source: National Statistics Office Latest actual data: 2022 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2014. Data prior to 2000 are based on a different base year (2000 prices) and estimated by IMF staff using splicing methods to avoid breaks in the data. These estimates continue to serve as proxies for historical series when complete information is unavailable. Chain-weighted: No Primary domestic currency: Cambodian riel Data last updated: 09/2024
2016,2022,Cambodia,"Gross domestic product, current prices",U.S. dollars,26.59,Billions,"See notes for:  Gross domestic product, current prices (National currency)."
2016,2022,Cambodia,"Gross domestic product, current prices",Purchasing power parity; international dollars,73.79,Billions,"See notes for:  Gross domestic product, current prices (National currency)."
2016,2022,Cambodia,"Gross domestic product, deflator",Index,104.7,Units,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency)."
2016,2022,Cambodia,"Gross domestic product per capita, constant prices",National currency,6720236.12,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons)."
2016,2022,Cambodia,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,5467.78,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons)."
2016,2022,Cambodia,"Gross domestic product per capita, current prices",National currency,7035948.27,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
2016,2022,Cambodia,"Gross domestic product per capita, current prices",U.S. dollars,1735.79,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
2016,2022,Cambodia,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,4816.53,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
2016,2022,Cambodia,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,0.06,Units,"See notes for:  Gross domestic product, current prices (National currency)."
2016,2022,Cambodia,Implied PPP conversion rate,National currency per current international dollar,1460.79,Units,"See notes for:  Gross domestic product, current prices (National currency)."
2016,2022,Cambodia,Total investment,Percent of GDP,30.39,Units,Source: National Statistics Office Latest actual data: 2022 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2014. Data prior to 2000 are based on a different base year (2000 prices) and estimated by IMF staff using splicing methods to avoid breaks in the data. These estimates continue to serve as proxies for historical series when complete information is unavailable. Chain-weighted: No Primary domestic currency: Cambodian riel Data last updated: 09/2024
2016,2022,Cambodia,Gross national savings,Percent of GDP,23.99,Units,Source: National Statistics Office Latest actual data: 2022 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2014. Data prior to 2000 are based on a different base year (2000 prices) and estimated by IMF staff using splicing methods to avoid breaks in the data. These estimates continue to serve as proxies for historical series when complete information is unavailable. Chain-weighted: No Primary domestic currency: Cambodian riel Data last updated: 09/2024
2016,2022,Cambodia,"Inflation, average consumer prices",Index,165.07,Units,Source: National Statistics Office Latest actual data: 2023 Harmonized prices: No Base year: 2006. October-December 2006=100 Primary domestic currency: Cambodian riel Data last updated: 09/2024
2016,2022,Cambodia,"Inflation, average consumer prices",Percent change,3.04,Units,"See notes for:  Inflation, average consumer prices (Index)."
2016,2022,Cambodia,"Inflation, end of period consumer prices",Index,168.03,Units,Source: National Statistics Office Latest actual data: 2023 Harmonized prices: No Base year: 2006. October-December 2006=100 Primary domestic currency: Cambodian riel Data last updated: 09/2024
2016,2022,Cambodia,"Inflation, end of period consumer prices",Percent change,3.88,Units,"See notes for:  Inflation, end of period consumer prices (Index)."
2016,2022,Cambodia,Volume of imports of goods and services,Percent change,13.58,Units,"Source: National Statistics Office Latest actual data: 2023 Base year: 2010 Methodology used to derive volumes: Deflation by unit value indexes (from customs data) Formula used to derive volumes: Other Chain-weighted: No Trade System: General trade Excluded items in trade: Does not include cross border trade Oil coverage: Secondary or refined products; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Cambodian riel Data last updated: 09/2024"
2016,2022,Cambodia,Volume of Imports of goods,Percent change,13.25,Units,"Source: National Statistics Office Latest actual data: 2023 Base year: 2010 Methodology used to derive volumes: Deflation by unit value indexes (from customs data) Formula used to derive volumes: Other Chain-weighted: No Trade System: General trade Excluded items in trade: Does not include cross border trade Oil coverage: Secondary or refined products; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Cambodian riel Data last updated: 09/2024"
2016,2022,Cambodia,Volume of exports of goods and services,Percent change,13.14,Units,"Source: National Statistics Office Latest actual data: 2023 Base year: 2010 Methodology used to derive volumes: Deflation by unit value indexes (from customs data) Formula used to derive volumes: Other Chain-weighted: No Trade System: General trade Excluded items in trade: Does not include cross border trade Oil coverage: Secondary or refined products; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Cambodian riel Data last updated: 09/2024"
2016,2022,Cambodia,Volume of exports of goods,Percent change,15.68,Units,"Source: National Statistics Office Latest actual data: 2023 Base year: 2010 Methodology used to derive volumes: Deflation by unit value indexes (from customs data) Formula used to derive volumes: Other Chain-weighted: No Trade System: General trade Excluded items in trade: Does not include cross border trade Oil coverage: Secondary or refined products; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Cambodian riel Data last updated: 09/2024"
2016,2022,Cambodia,Population,Persons,15.32,Millions,Source: National Statistics Office Latest actual data: 2022 Primary domestic currency: Cambodian riel Data last updated: 09/2024
2016,2022,Cambodia,General government revenue,National currency,16102.39,Billions,Source: Ministry of Finance or Treasury Latest actual data: 2023 Fiscal assumptions: Historical fiscal and monetary data are from the Cambodia authorities. Projections are based on staff's assumptions given discussions with the authorities. Reporting in calendar year: Yes Start/end months of reporting year: January/December GFS Manual used: Government Finance Statistics Manual (GFSM) 2001 Basis of recording: Cash General government includes: Central Government; Local Government; Valuation of public debt: Face value Instruments included in gross and net debt: Loans Primary domestic currency: Cambodian riel Data last updated: 09/2024
2016,2022,Cambodia,General government revenue,Percent of GDP,14.94,Units,See notes for:  General government revenue (National currency).
2016,2022,Cambodia,General government total expenditure,National currency,16417.16,Billions,Source: Ministry of Finance or Treasury Latest actual data: 2023 Fiscal assumptions: Historical fiscal and monetary data are from the Cambodia authorities. Projections are based on staff's assumptions given discussions with the authorities. Reporting in calendar year: Yes Start/end months of reporting year: January/December GFS Manual used: Government Finance Statistics Manual (GFSM) 2001 Basis of recording: Cash General government includes: Central Government; Local Government; Valuation of public debt: Face value Instruments included in gross and net debt: Loans Primary domestic currency: Cambodian riel Data last updated: 09/2024
2016,2022,Cambodia,General government total expenditure,Percent of GDP,15.23,Units,See notes for:  General government total expenditure (National currency).
2016,2022,Cambodia,General government net lending/borrowing,National currency,-314.77,Billions,Source: Ministry of Finance or Treasury Latest actual data: 2023 Fiscal assumptions: Historical fiscal and monetary data are from the Cambodia authorities. Projections are based on staff's assumptions given discussions with the authorities. Reporting in calendar year: Yes Start/end months of reporting year: January/December GFS Manual used: Government Finance Statistics Manual (GFSM) 2001 Basis of recording: Cash General government includes: Central Government; Local Government; Valuation of public debt: Face value Instruments included in gross and net debt: Loans Primary domestic currency: Cambodian riel Data last updated: 09/2024
2016,2022,Cambodia,General government net lending/borrowing,Percent of GDP,-0.29,Units,See notes for:  General government net lending/borrowing (National currency).
2016,2022,Cambodia,General government primary net lending/borrowing,National currency,-23.38,Billions,Source: Ministry of Finance or Treasury Latest actual data: 2023 Fiscal assumptions: Historical fiscal and monetary data are from the Cambodia authorities. Projections are based on staff's assumptions given discussions with the authorities. Reporting in calendar year: Yes Start/end months of reporting year: January/December GFS Manual used: Government Finance Statistics Manual (GFSM) 2001 Basis of recording: Cash General government includes: Central Government; Local Government; Valuation of public debt: Face value Instruments included in gross and net debt: Loans Primary domestic currency: Cambodian riel Data last updated: 09/2024
2016,2022,Cambodia,General government primary net lending/borrowing,Percent of GDP,-0.02,Units,See notes for:  General government primary net lending/borrowing (National currency).
2016,2022,Cambodia,General government gross debt,National currency,23485.97,Billions,Source: Ministry of Finance or Treasury Latest actual data: 2023 Fiscal assumptions: Historical fiscal and monetary data are from the Cambodia authorities. Projections are based on staff's assumptions given discussions with the authorities. Reporting in calendar year: Yes Start/end months of reporting year: January/December GFS Manual used: Government Finance Statistics Manual (GFSM) 2001 Basis of recording: Cash General government includes: Central Government; Local Government; Valuation of public debt: Face value Instruments included in gross and net debt: Loans Primary domestic currency: Cambodian riel Data last updated: 09/2024
2016,2022,Cambodia,General government gross debt,Percent of GDP,21.79,Units,See notes for:  General government gross debt (National currency).
2016,2022,Cambodia,"Gross domestic product corresponding to fiscal year, current prices",National currency,107784.91,Billions,Source: Ministry of Finance or Treasury Latest actual data: 2023 Fiscal assumptions: Historical fiscal and monetary data are from the Cambodia authorities. Projections are based on staff's assumptions given discussions with the authorities. Reporting in calendar year: Yes Start/end months of reporting year: January/December GFS Manual used: Government Finance Statistics Manual (GFSM) 2001 Basis of recording: Cash General government includes: Central Government; Local Government; Valuation of public debt: Face value Instruments included in gross and net debt: Loans Primary domestic currency: Cambodian riel Data last updated: 09/2024
2016,2022,Cambodia,Current account balance,U.S. dollars,-1.7,Billions,"Source: Central Bank Latest actual data: 2023 BOP Manual used: Balance of Payments and International Investment Position Manual, sixth edition (BPM6) Primary domestic currency: Cambodian riel Data last updated: 09/2024"
2016,2022,Cambodia,Current account balance,Percent of GDP,-6.39,Units,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars)."
2017,2022,Cambodia,"Gross domestic product, constant prices",National currency,111261.59,Billions,Source: National Statistics Office Latest actual data: 2022 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2014. Data prior to 2000 are based on a different base year (2000 prices) and estimated by IMF staff using splicing methods to avoid breaks in the data. These estimates continue to serve as proxies for historical series when complete information is unavailable. Chain-weighted: No Primary domestic currency: Cambodian riel Data last updated: 09/2024
2017,2022,Cambodia,"Gross domestic product, constant prices",Percent change,8.08,Units,"See notes for:  Gross domestic product, constant prices (National currency)."
2017,2022,Cambodia,"Gross domestic product, current prices",National currency,118907.47,Billions,Source: National Statistics Office Latest actual data: 2022 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2014. Data prior to 2000 are based on a different base year (2000 prices) and estimated by IMF staff using splicing methods to avoid breaks in the data. These estimates continue to serve as proxies for historical series when complete information is unavailable. Chain-weighted: No Primary domestic currency: Cambodian riel Data last updated: 09/2024
2017,2022,Cambodia,"Gross domestic product, current prices",U.S. dollars,29.39,Billions,"See notes for:  Gross domestic product, current prices (National currency)."
2017,2022,Cambodia,"Gross domestic product, current prices",Purchasing power parity; international dollars,81.17,Billions,"See notes for:  Gross domestic product, current prices (National currency)."
2017,2022,Cambodia,"Gross domestic product, deflator",Index,106.87,Units,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency)."
2017,2022,Cambodia,"Gross domestic product per capita, constant prices",National currency,7146691.46,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons)."
2017,2022,Cambodia,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,5814.76,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons)."
2017,2022,Cambodia,"Gross domestic product per capita, current prices",National currency,7637811.54,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
2017,2022,Cambodia,"Gross domestic product per capita, current prices",U.S. dollars,1888.07,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
2017,2022,Cambodia,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,5213.91,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."
2017,2022,Cambodia,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,0.07,Units,"See notes for:  Gross domestic product, current prices (National currency)."
2017,2022,Cambodia,Implied PPP conversion rate,National currency per current international dollar,1464.89,Units,"See notes for:  Gross domestic product, current prices (National currency)."
2017,2022,Cambodia,Total investment,Percent of GDP,30.63,Units,Source: National Statistics Office Latest actual data: 2022 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2014. Data prior to 2000 are based on a different base year (2000 prices) and estimated by IMF staff using splicing methods to avoid breaks in the data. These estimates continue to serve as proxies for historical series when complete information is unavailable. Chain-weighted: No Primary domestic currency: Cambodian riel Data last updated: 09/2024
2017,2022,Cambodia,Gross national savings,Percent of GDP,24.66,Units,Source: National Statistics Office Latest actual data: 2022 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2014. Data prior to 2000 are based on a different base year (2000 prices) and estimated by IMF staff using splicing methods to avoid breaks in the data. These estimates continue to serve as proxies for historical series when complete information is unavailable. Chain-weighted: No Primary domestic currency: Cambodian riel Data last updated: 09/2024
2017,2022,Cambodia,"Inflation, average consumer prices",Index,169.87,Units,Source: National Statistics Office Latest actual data: 2023 Harmonized prices: No Base year: 2006. October-December 2006=100 Primary domestic currency: Cambodian riel Data last updated: 09/2024
2017,2022,Cambodia,"Inflation, average consumer prices",Percent change,2.91,Units,"See notes for:  Inflation, average consumer prices (Index)."
2017,2022,Cambodia,"Inflation, end of period consumer prices",Index,171.78,Units,Source: National Statistics Office Latest actual data: 2023 Harmonized prices: No Base year: 2006. October-December 2006=100 Primary domestic currency: Cambodian riel Data last updated: 09/2024
2017,2022,Cambodia,"Inflation, end of period consumer prices",Percent change,2.23,Units,"See notes for:  Inflation, end of period consumer prices (Index)."
2017,2022,Cambodia,Volume of imports of goods and services,Percent change,6.82,Units,"Source: National Statistics Office Latest actual data: 2023 Base year: 2010 Methodology used to derive volumes: Deflation by unit value indexes (from customs data) Formula used to derive volumes: Other Chain-weighted: No Trade System: General trade Excluded items in trade: Does not include cross border trade Oil coverage: Secondary or refined products; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Cambodian riel Data last updated: 09/2024"
2017,2022,Cambodia,Volume of Imports of goods,Percent change,6.37,Units,"Source: National Statistics Office Latest actual data: 2023 Base year: 2010 Methodology used to derive volumes: Deflation by unit value indexes (from customs data) Formula used to derive volumes: Other Chain-weighted: No Trade System: General trade Excluded items in trade: Does not include cross border trade Oil coverage: Secondary or refined products; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Cambodian riel Data last updated: 09/2024"
2017,2022,Cambodia,Volume of exports of goods and services,Percent change,9.88,Units,"Source: National Statistics Office Latest actual data: 2023 Base year: 2010 Methodology used to derive volumes: Deflation by unit value indexes (from customs data) Formula used to derive volumes: Other Chain-weighted: No Trade System: General trade Excluded items in trade: Does not include cross border trade Oil coverage: Secondary or refined products; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Cambodian riel Data last updated: 09/2024"
2017,2022,Cambodia,Volume of exports of goods,Percent change,8.48,Units,"Source: National Statistics Office Latest actual data: 2023 Base year: 2010 Methodology used to derive volumes: Deflation by unit value indexes (from customs data) Formula used to derive volumes: Other Chain-weighted: No Trade System: General trade Excluded items in trade: Does not include cross border trade Oil coverage: Secondary or refined products; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Cambodian riel Data last updated: 09/2024"
2017,2022,Cambodia,Population,Persons,15.57,Millions,Source: National Statistics Office Latest actual data: 2022 Primary domestic currency: Cambodian riel Data last updated: 09/2024
2017,2022,Cambodia,General government revenue,National currency,18332.98,Billions,Source: Ministry of Finance or Treasury Latest actual data: 2023 Fiscal assumptions: Historical fiscal and monetary data are from the Cambodia authorities. Projections are based on staff's assumptions given discussions with the authorities. Reporting in calendar year: Yes Start/end months of reporting year: January/December GFS Manual used: Government Finance Statistics Manual (GFSM) 2001 Basis of recording: Cash General government includes: Central Government; Local Government; Valuation of public debt: Face value Instruments included in gross and net debt: Loans Primary domestic currency: Cambodian riel Data last updated: 09/2024
2017,2022,Cambodia,General government revenue,Percent of GDP,15.42,Units,See notes for:  General government revenue (National currency).
