Sector,Sub-sector,Year,Value,Is_estimated,Is_predicted
4.0 External Sector (US$m unless otherwise stated),"4.3 Foreign direct investment, net inflows",2022,,False,False
4.0 External Sector (US$m unless otherwise stated),4.4 Gross official reserves,2022,,False,False
4.0 External Sector (US$m unless otherwise stated),4.5 Months of imports,2022,5.3,False,False
4.0 External Sector (US$m unless otherwise stated),4.6 Current account (% of GDP),2022,-12.5,False,False
4.0 External Sector (US$m unless otherwise stated),"4.7 Exchange rate (riel per US$, average)",2022,,False,False
5.0 Total public debt (% of GDP),5.1 Nominal GDP (US$m),2022,,False,False
1.0 National Accounts and Prices,1.1 GDP at constant market prices (% change),2023,5.4,True,False
1.0 National Accounts and Prices,1.2 Agriculture,2023,1.4,True,False
1.0 National Accounts and Prices,1.3 Industry,2023,7.4,True,False
1.0 National Accounts and Prices,1.4 Services,2023,6.0,True,False
1.0 National Accounts and Prices,1.5 Consumer Price Index,2023,2.1,True,False
2.0 General Government (% of GDP),2.1 Revenue and grants,2023,21.4,True,False
2.0 General Government (% of GDP),2.2 Expenditure and net lending,2023,26.7,True,False
2.0 General Government (% of GDP),2.3 Overall balance (including grants),2023,-5.3,True,False
2.0 General Government (% of GDP),2.4 Foreign financing,2023,4.3,True,False
2.0 General Government (% of GDP),2.5 Net domestic financing (from current savings),2023,-1.3,True,False
2.0 General Government (% of GDP),2.6 Amortization,2023,-1.3,True,False
3.0 Money and Credit,3.1 Broad money (% change),2023,12.5,True,False
3.0 Money and Credit,3.2 Credit to the private sector (% change),2023,4.1,True,False
4.0 External Sector (US$m unless otherwise stated),4.1 Exports (goods and services),2023,,True,False
4.0 External Sector (US$m unless otherwise stated),4.2 Imports (goods and services),2023,,True,False
4.0 External Sector (US$m unless otherwise stated),"4.3 Foreign direct investment, net inflows",2023,,True,False
4.0 External Sector (US$m unless otherwise stated),4.4 Gross official reserves,2023,,True,False
4.0 External Sector (US$m unless otherwise stated),4.5 Months of imports,2023,5.4,True,False
4.0 External Sector (US$m unless otherwise stated),4.6 Current account (% of GDP),2023,-11.5,True,False
4.0 External Sector (US$m unless otherwise stated),"4.7 Exchange rate (riel per US$, average)",2023,,True,False
5.0 Total public debt (% of GDP),5.1 Nominal GDP (US$m),2023,,True,False
1.0 National Accounts and Prices,1.1 GDP at constant market prices (% change),2024,5.8,False,True
1.0 National Accounts and Prices,1.2 Agriculture,2024,1.4,False,True
1.0 National Accounts and Prices,1.3 Industry,2024,7.7,False,True
1.0 National Accounts and Prices,1.4 Services,2024,6.3,False,True
1.0 National Accounts and Prices,1.5 Consumer Price Index,2024,2.8,False,True
2.0 General Government (% of GDP),2.1 Revenue and grants,2024,20.7,False,True
2.0 General Government (% of GDP),2.2 Expenditure and net lending,2024,26.2,False,True
2.0 General Government (% of GDP),2.3 Overall balance (including grants),2024,-5.5,False,True
2.0 General Government (% of GDP),2.4 Foreign financing,2024,3.7,False,True
2.0 General Government (% of GDP),2.5 Net domestic financing (from current savings),2024,-1.3,False,True
2.0 General Government (% of GDP),2.6 Amortization,2024,-1.3,False,True
3.0 Money and Credit,3.1 Broad money (% change),2024,13.0,False,True
3.0 Money and Credit,3.2 Credit to the private sector (% change),2024,7.6,False,True
4.0 External Sector (US$m unless otherwise stated),4.1 Exports (goods and services),2024,,False,True
4.0 External Sector (US$m unless otherwise stated),4.2 Imports (goods and services),2024,,False,True
4.0 External Sector (US$m unless otherwise stated),"4.3 Foreign direct investment, net inflows",2024,,False,True
4.0 External Sector (US$m unless otherwise stated),4.4 Gross official reserves,2024,,False,True
4.0 External Sector (US$m unless otherwise stated),4.5 Months of imports,2024,7.2,False,True
4.0 External Sector (US$m unless otherwise stated),4.6 Current account (% of GDP),2024,-7.9,False,True
4.0 External Sector (US$m unless otherwise stated),"4.7 Exchange rate (riel per US$, average)",2024,,False,True
5.0 Total public debt (% of GDP),5.1 Nominal GDP (US$m),2024,,False,True
1.0 National Accounts and Prices,1.1 GDP at constant market prices (% change),2025,6.1,False,True
1.0 National Accounts and Prices,1.2 Agriculture,2025,1.4,False,True
1.0 National Accounts and Prices,1.3 Industry,2025,7.7,False,True
1.0 National Accounts and Prices,1.4 Services,2025,6.3,False,True
1.0 National Accounts and Prices,1.5 Consumer Price Index,2025,2.7,False,True
2.0 General Government (% of GDP),2.1 Revenue and grants,2025,20.6,False,True
2.0 General Government (% of GDP),2.2 Expenditure and net lending,2025,25.0,False,True
2.0 General Government (% of GDP),2.3 Overall balance (including grants),2025,-4.4,False,True
2.0 General Government (% of GDP),2.4 Foreign financing,2025,3.7,False,True
2.0 General Government (% of GDP),2.5 Net domestic financing (from current savings),2025,-1.5,False,True
2.0 General Government (% of GDP),2.6 Amortization,2025,-1.5,False,True
3.0 Money and Credit,3.1 Broad money (% change),2025,15.1,False,True
3.0 Money and Credit,3.2 Credit to the private sector (% change),2025,10.8,False,True
4.0 External Sector (US$m unless otherwise stated),4.1 Exports (goods and services),2025,,False,True
4.0 External Sector (US$m unless otherwise stated),4.2 Imports (goods and services),2025,,False,True
4.0 External Sector (US$m unless otherwise stated),"4.3 Foreign direct investment, net inflows",2025,,False,True
4.0 External Sector (US$m unless otherwise stated),4.4 Gross official reserves,2025,,False,True
4.0 External Sector (US$m unless otherwise stated),4.5 Months of imports,2025,7.0,False,True
4.0 External Sector (US$m unless otherwise stated),4.6 Current account (% of GDP),2025,-7.5,False,True
4.0 External Sector (US$m unless otherwise stated),"4.7 Exchange rate (riel per US$, average)",2025,,False,True
5.0 Total public debt (% of GDP),5.1 Nominal GDP (US$m),2025,,False,True
1.0 National Accounts and Prices,1.1 GDP at constant market prices (% change),2026,6.4,False,True
1.0 National Accounts and Prices,1.2 Agriculture,2026,1.5,False,True
1.0 National Accounts and Prices,1.3 Industry,2026,7.7,False,True
1.0 National Accounts and Prices,1.4 Services,2026,6.4,False,True
1.0 National Accounts and Prices,1.5 Consumer Price Index,2026,3.0,False,True
2.0 General Government (% of GDP),2.1 Revenue and grants,2026,20.3,False,True
2.0 General Government (% of GDP),2.2 Expenditure and net lending,2026,24.5,False,True
2.0 General Government (% of GDP),2.3 Overall balance (including grants),2026,-4.2,False,True
2.0 General Government (% of GDP),2.4 Foreign financing,2026,3.6,False,True
2.0 General Government (% of GDP),2.5 Net domestic financing (from current savings),2026,-1.6,False,True
2.0 General Government (% of GDP),2.6 Amortization,2026,-1.6,False,True
3.0 Money and Credit,3.1 Broad money (% change),2026,17.0,False,True
3.0 Money and Credit,3.2 Credit to the private sector (% change),2026,12.6,False,True
4.0 External Sector (US$m unless otherwise stated),4.1 Exports (goods and services),2026,,False,True
4.0 External Sector (US$m unless otherwise stated),4.2 Imports (goods and services),2026,,False,True
4.0 External Sector (US$m unless otherwise stated),"4.3 Foreign direct investment, net inflows",2026,,False,True
4.0 External Sector (US$m unless otherwise stated),4.4 Gross official reserves,2026,,False,True
4.0 External Sector (US$m unless otherwise stated),4.5 Months of imports,2026,7.4,False,True
4.0 External Sector (US$m unless otherwise stated),4.6 Current account (% of GDP),2026,-7.2,False,True
4.0 External Sector (US$m unless otherwise stated),"4.7 Exchange rate (riel per US$, average)",2026,,False,True
5.0 Total public debt (% of GDP),5.1 Nominal GDP (US$m),2026,,False,True
